gloss,text
MEMBERSHIP PARLIAMENT SEE MINUTE,membership of parliament see minutes
VERIFICATION CREDENTIALS SEE MINUTE,verification of credentials see minutes
WRITE STATEMENT  ORAL QUESTION TABLE SEE MINUTE,written statements and oral questions tabling see minutes
TEXT AGREEMENT FORWARD  COUNCIL SEE MINUTE,texts of agreements forwarded by the council see minutes
ACTION TAKE ON PARLIAMENT POSS RESOLUTION SEE MINUTE,action taken on parliament's resolutions see minutes
AGENDA  NEXT SIT SEE MINUTE,agenda for next sitting see minutes
SIT  CLOSE  7.45 P.M.,the sitting was closed at 7.45 p.m.
ELECTION VICE PRESIDENT EUROPEAN PARLIAMENT DEADLINE  SUBMIT NOMINATION SEE MINUTE,election of vice presidents of the european parliament deadline for submitting nominations see minutes
SIT  SUSPEND  12.40 P.M.  RESUME  3.00 P.M.,the sitting was suspended at 12.40 p.m. and resumed at 3.00 p.m.
SIT  SUSPEND  3.25 P.M.  RESUME  6.00 P.M.,the sitting was suspended at 3.25 p.m. and resumed at 6.00 p.m.
SIT  CLOSE  6.15 P.M.,the sitting was closed at 6.15 p.m.
SIT  OPEN  9.35 .M.,the sitting was opened at 9.35 a.m.
MEMBERSHIP COMMITTEE DEADLINE  TABLE AMENDMENT SEE MINUTE,membership of committees deadline for tabling amendments see minutes
SIT  SUSPEND  7 P.M.  RESUME  9 P.M.,the sitting was suspended at 7 p.m. and resumed at 9 p.m.
SIT  SUSPEND  23.25 P.M.,the sitting was suspended at 23.25 p.m.
SIT  SUSPEND  11.35 .M.  RESUME  VOTING TIME  NOON,the sitting was suspended at 11.35 a.m. and resumed for voting time at noon
ANNOUNCEMENT  PRESIDENT SEE MINUTE,announcement by the president see minutes
MEMBERSHIP COMMITTEE VOTE,membership of committees vote
CERTIFICATION TRAIN DRIVER OPERATE LOCOMOTIVE  TRAIN ON RAILWAY SYSTEM IN COMMUNITY VOTE,certification of train drivers operating locomotives and trains on the railway system in the community vote
LAW APPLICABLE  NON CONTRACTUAL OBLIGATION ROME IUS VOTE,law applicable to non contractual obligations rome ii vote
SEVENTH  EIGHTH ANNUAL REPORT ON ARM EXPORT VOTE,seventh and eighth annual reports on arms exports vote
CORRECTION  VOTE  VOTE INTENTION SEE MINUTE,corrections to votes and voting intentions see minutes
MEMBERSHIP COMMITTEE  DELEGATION SEE MINUTE,membership of committees and delegations see minutes
REQUEST  WAIVER PARLIAMENTARY IMMUNITY SEE MINUTE,request for waiver of parliamentary immunity see minutes
WRITE STATEMENT  ENTRY IN REGISTER RULE 116 SEE MINUTE,written statements for entry in the register rule 116 see minutes
FORWARDING TEXT ADOPT DURING SIT SEE MINUTE,forwarding of texts adopted during the sitting see minutes
SIT  CLOSE  1 P.M.,the sitting was closed at 1 p.m.
REQUEST  DEFENSE PARLIAMENTARY IMMUNITY SEE MINUTE,request for the defence of parliamentary immunity see minutes
APPOINTMENT  COMMITTEE PROPOSAL  CONFERENCE PRESIDENT SEE MINUTE,appointments to committees proposal by the conference of presidents see minutes
ORAL QUESTION  WRITE STATEMENT TABLE SEE MINUTE,oral questions and written statements tabling see minutes
APPOINTMENT  PARLIAMENTARY COMMITTEE VOTE SEE MINUTE,appointments to parliamentary committees vote see minutes
